-40.9356669456 0.9 40.9356669456 0.9
-153.444929729 1.9 153.444929729 1.9
-23.4760567781 0.9 23.4760567781 0.9
-144.918094845 1.9 144.918094845 1.9
-10.9100868991 0.9 10.9100868991 0.9
-139.18347926 1.9 139.18347926 1.9
-0.335322210208 0.9 0.335322210208 0.9
-135.538672605 1.9 135.538672605 1.9
-90.9933444786 1.1 90.9933444786 1.1
-67.6994593642 2.1 67.6994593642 2.1
-42.7415135595 1.2 42.7415135595 1.2
-68.2455903974 2.2 68.2455903974 2.2
-28.5033792242 1.2 28.5033792242 1.2
-65.9686434645 2.2 65.9686434645 2.2
-18.6515258447 1.2 18.6515258447 1.2
-64.7682148535 2.2 64.7682148535 2.2
-10.6374884659 1.2 10.6374884659 1.2
-64.4679366717 2.2 64.4679366717 2.2
-86.5217249812 1.1 86.5217249812 1.1
-49.1487428359 2.1 49.1487428359 2.1
-41.129808644 1.2 41.129808644 1.2
-52.5850683083 2.2 52.5850683083 2.2
-27.8720901258 1.2 27.8720901258 1.2
-51.76998687 2.2 51.76998687 2.2
-18.7524982203 1.2 18.7524982203 1.2
-51.568872221 2.2 51.568872221 2.2
-11.3764387988 1.2 11.3764387988 1.2
-51.9817467989 2.2 51.9817467989 2.2
-83.9262167246 1.1 83.9262167246 1.1
-38.9429908619 2.1 38.9429908619 2.1
-40.2067532211 1.2 40.2067532211 1.2
-44.1826022745 2.2 44.1826022745 2.2
-27.4785984383 1.2 27.4785984383 1.2
-44.2246608709 2.2 44.2246608709 2.2
-18.7454589637 1.2 18.7454589637 1.2
-44.6047623286 2.2 44.6047623286 2.2
-11.7023099187 1.2 11.7023099187 1.2
-45.4333599882 2.2 45.4333599882 2.2
-82.2624505739 1.1 82.2624505739 1.1
-32.2208437074 2.1 32.2208437074 2.1
-39.6385096202 1.2 39.6385096202 1.2
-38.7432459708 2.2 38.7432459708 2.2
-27.240527508 1.2 27.240527508 1.2
-39.3741141506 2.2 39.3741141506 2.2
-18.7454424408 1.2 18.7454424408 1.2
-40.1524065352 2.2 40.1524065352 2.2
-11.9065690921 1.2 11.9065690921 1.2
-41.2668822244 2.2 41.2668822244 2.2
