loc_rowid,pl_name,hostname,default_flag,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_radj,pl_massj,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_lum,sy_dist
5371,KELT-24 b,KELT-24,1,Transit,2019,5.55149260,0.069690,1.272,5.18000,1459,,6509.00,1.51,1.46,0.565,96.5173000
5376,KELT-3 b,KELT-3,1,Transit,2013,2.70339000,,1.560,1.94000,,,6304.00,1.70,1.96,,210.2520000
5383,KELT-4 A b,KELT-4 A,1,Transit,2016,2.98959320,0.043170,1.699,0.90200,1823,F,6206.00,1.60,1.20,0.535,218.0500000
5387,KELT-6 b,KELT-6,1,Transit,2014,7.84570000,,1.300,0.52000,,,6102.00,1.73,1.42,,240.7260000
5392,KELT-6 c,KELT-6,1,Radial Velocity,2015,1276.00000000,2.390000,,,,,6272.00,1.53,1.13,,240.7260000
5396,KELT-7 b,KELT-7,1,Transit,2015,2.73477000,,1.600,1.39000,,,6768.00,1.81,1.76,,136.6810000
5404,KELT-8 b,KELT-8,1,Transit,2015,3.24406000,,1.620,0.66000,,,5754.00,1.46,0.81,,197.5720000
5408,KELT-9 b,KELT-9,1,Transit,2017,1.48112350,0.034620,1.891,2.88000,4050,B9.5-A0,10170.00,2.36,2.52,1.724,204.4550000
5412,KIC 10001893 b,KIC 10001893,1,Orbital Brightness Modulation,2014,0.21970000,,,,,,27500.00,,,,1672.9400000
5413,KIC 10001893 c,KIC 10001893,1,Orbital Brightness Modulation,2014,0.32528000,,,,,,27500.00,,,,1672.9400000
5414,KIC 10001893 d,KIC 10001893,1,Orbital Brightness Modulation,2014,0.81161000,,,,,,27500.00,,,,1672.9400000
5415,KIC 10068024 b,KIC 10068024,1,Orbital Brightness Modulation,2021,2.07354900,,,,,,6118.40,1.57,1.22,,721.1050000
5416,KIC 10525077 b,KIC 10525077,1,Transit,2015,854.08300000,,0.491,,,,6091.00,1.01,1.01,,1461.1500000
5417,KIC 3526061 b,KIC 3526061,1,Radial Velocity,2022,3552.00000000,5.140000,,,,,4829.00,5.86,1.42,1.215,401.2290000
5418,KIC 3558849 b,KIC 3558849,1,Transit,2015,1322.30000000,,0.616,,,,6175.00,1.01,0.98,,1215.7000000
5419,KIC 5095269 b,KIC 5095269,1,Eclipse Timing Variations,2017,237.68977000,0.800000,,7.69300,,F7 V,,,1.21,,1188.5400000
5421,KIC 5437945 b,KIC 5437945,1,Transit,2015,440.78130000,,0.571,,,,6340.00,1.24,1.07,,1274.0100000
5427,KIC 5479689 b,KIC 5479689,1,Orbital Brightness Modulation,2021,1.70153100,,,,,,5459.10,0.89,0.97,,454.9500000
5428,KIC 5951458 b,KIC 5951458,1,Transit,2015,1320.10000000,,0.589,,,,6258.00,1.52,0.98,,742.6880000
5429,KIC 7917485 b,KIC 7917485,1,Pulsation Timing Variations,2016,840.00000000,,,,,A,7067.00,,1.63,0.996,1382.8900000
5430,KIC 8121913 b,KIC 8121913,1,Orbital Brightness Modulation,2021,3.29460100,,,,,,5975.30,2.23,1.46,,707.3030000
5431,KIC 8540376 b,KOI-7892,1,Transit,2015,31.80990000,,0.366,,,,6474.00,1.26,1.04,,1072.3000000
5432,KIC 8540376 c,KOI-7892,1,Transit,2015,75.20000000,,0.214,,,,6474.00,1.26,1.04,,1072.3000000
5439,KIC 9663113 b,KIC 9663113,1,Transit,2015,572.38470000,,0.410,,,,6065.00,1.03,0.98,,1594.7400000
5441,KMT-2016-BLG-0212L b,KMT-2016-BLG-0212L,1,Microlensing,2018,,2.200000,,18.00000,,,,,0.48,,6300.0000000
5446,KMT-2016-BLG-1105L b,KMT-2016-BLG-1105L,1,Microlensing,2023,,2.440000,,0.00730,,,,,0.41,,5080.0000000
5451,KMT-2016-BLG-1107L b,KMT-2016-BLG-1107L,1,Microlensing,2019,,0.342000,,3.28300,,,,,0.09,,6651.0000000
5453,KMT-2016-BLG-1397L b,KMT-2016-BLG-1397L,1,Microlensing,2018,,5.100000,,7.00000,,,,,0.45,,6600.0000000
5454,KMT-2016-BLG-1820L b,KMT-2016-BLG-1820L,1,Microlensing,2018,,1.080000,,4.57000,,,,,0.04,,6260.0000000
5458,KMT-2016-BLG-1836L b,KMT-2016-BLG-1836L,1,Microlensing,2019,,3.500000,,2.20000,,,,,0.49,,7100.0000000
5462,KMT-2016-BLG-2142L b,KMT-2016-BLG-2142L,1,Microlensing,2018,,0.830000,,15.49000,,,,,0.07,,7010.0000000
5464,KMT-2016-BLG-2364L b,KMT-2016-BLG-2364L,1,Microlensing,2020,,2.630000,,3.93000,,,,,0.50,,6440.0000000
5465,KMT-2016-BLG-2397L b,KMT-2016-BLG-2397L,1,Microlensing,2020,,3.640000,,2.63000,,,,,0.64,,4880.0000000
5467,KMT-2016-BLG-2605L b,KMT-2016-BLG-2605L,1,Microlensing,2021,,0.681000,,0.77100,,,,,0.06,,6421.0000000
5468,KMT-2017-BLG-0165L b,KMT-2017-BLG-0165L,1,Microlensing,2018,,3.450000,,0.11000,,,,,0.76,,4530.0000000
5471,KMT-2017-BLG-0428L b,KMT-2017-BLG-0428L,1,Microlensing,2023,,1.810000,,0.01759,,,,,0.34,,5400.0000000
5473,KMT-2017-BLG-0673L b,KMT-2017-BLG-0673L,1,Microlensing,2022,,2.340000,,3.67000,,,,,0.63,,5080.0000000
5476,KMT-2017-BLG-1003L b,KMT-2017-BLG-1003L,1,Microlensing,2023,,1.380000,,0.01633,,,,,0.32,,7090.0000000
5477,KMT-2017-BLG-1038L b,KMT-2017-BLG-1038L,1,Microlensing,2019,,1.800000,,2.00000,,,,,0.37,,6000.0000000
5480,KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,1,Microlensing,2019,,1.600000,,0.71000,,,,,0.33,,6500.0000000
5481,KMT-2017-BLG-1194L b,KMT-2017-BLG-1194L,1,Microlensing,2023,,1.780000,,0.01114,,,,,0.41,,4240.0000000
5482,KMT-2017-BLG-2509L b,KMT-2017-BLG-2509L,1,Microlensing,2021,,2.140000,,2.09000,,,,,0.46,,7040.0000000
5483,KMT-2018-BLG-0029L b,KMT-2018-BLG-0029L,1,Microlensing,2020,,4.270000,,0.02390,,,,,1.14,,3380.0000000
5485,KMT-2018-BLG-0030L b,KMT-2018-BLG-0030L,1,Microlensing,2022,,4.390000,,1.45000,,,,,0.51,,6480.0000000
5486,KMT-2018-BLG-0087L b,KMT-2018-BLG-0087L,1,Microlensing,2022,,0.870000,,0.23000,,,,,0.10,,7020.0000000
5489,KMT-2018-BLG-0247L b,KMT-2018-BLG-0247L,1,Microlensing,2022,,2.460000,,2.11000,,,,,0.29,,6760.0000000
5491,KMT-2018-BLG-0748L b,KMT-2018-BLG-0748L,1,Microlensing,2020,,0.620000,,0.19000,,,,,0.09,,7300.0000000
